Ecoregion,# species,Initial cost ($/ha),SAR alpha,Initial forest (kha),Initial prot. forest (kha),Deforest. rate (%),Conservation end period,Overall end period,Total spend (M$),Expected new spp. conserved
Orissa Semi-Evergreen Forests,1400,3811.148862096,26.2516863731657,43.1374176,0.33409248,0.083801746475158,8,50,198.269800745911,870.797576650514
Northern Anatolian Conifer And Deciduous Forests,2200,1214.85946092284,20.384678134655,1464.1787904,0,0.106798883459636,50,50,10.6233300025148,867.135076318236
Oaxacan Montane Forests,3200,8349.7402423724,36.042144199626,551.6921344,14.1051584,0.270008661816986,50,50,518.253822809039,832.263178265807
Chimalapas Montane Forests,2500,119.45613204588,36.9597070326699,141.5981056,19.8626256,0.222511136441077,1,14,18.1493853712456,820.194159325128
Changbai Mountains Mixed Forests,2500,874.203595632791,18.5638862522002,4429.508608,131.7003008,0.141059879051462,50,50,707.837615274284,783.299689874639
Altai Montane Forest And Forest Steppe,2000,88.0915394595297,18.1880363709265,1607.758848,136.6649984,0.0496556627028672,8,50,156.683124556175,779.483105122867
Talamancan Montane Forests,8500,1177.69943489033,79.8429118754702,1367.454208,870.257152,0.22915944216693,24,50,633.066139767524,746.174485331775
Jamaican Moist Forests,2800,6215.06264733519,31.6808984888664,539.2655872,97.10576,0.365619782836752,50,50,1450.56999737215,745.968925462376
Southern Andean Yungas,3500,338.756094266278,26.3735131510243,4116.236288,1299.9670784,0.406725605668462,11,50,1196.23604699076,736.789165809425
Japur-Solimoes-Negro Moist Forests,8000,110.503284588647,41.8812948824963,25430.17984,15869.8323968,0.139619494786187,50,50,1078.32846003611,718.973479695504
Pindus Mountains Mixed Forests,4000,1340.80982094586,38.597770154034,1195.3329152,448.601856,0.321964055248447,50,50,921.922036544627,713.39604102898
Lesser Sundas Deciduous Forests,2500,1813.00627042903,21.8500566128722,1960.817664,153.5783936,0.270724064053627,50,50,918.638566343528,695.580736073731
Vogelkop Montane Rain Forests,5500,633.184867946832,47.935172355521,1988.5750272,1023.9143936,0.166220082394788,17,50,709.606861852184,691.498667751771
Esperance Mallee,2900,160.860236653386,30.1864409028985,818.333696,315.3809664,6.16719396764558,1,50,204.785615252098,688.815292342637
Meghalaya Subtropical Forests,3000,3681.59221206187,26.2439389843605,1951.9162368,10.2526312,0.631181918672926,50,50,238.944704583648,671.807757482075
Fiji Tropical Moist Forests,1450,2115.37485905836,14.7296642290116,924.4337152,35.8423168,0.0687324681625007,50,50,1032.49278663469,666.662729433686
Bolivian Yungas,6000,152.884424623682,40.2822464221594,7331.4156544,4307.345408,0.621028430882418,19,50,501.822131898465,632.448030085924
Coolgardie Woodlands,1800,15.2391952340616,19.5913690950308,654.6943488,92.0699584,1.79385497184446,1,21,13.6109001719854,626.325232365771
Pernambuco Coastal Forests,3000,7765.48342882421,35.0657671700201,458.341888,38.9395936,0.550083161395314,50,50,589.92999454861,614.279430318282
Middle Rockies - Blue Mountains,2373,259.300237559662,16.5128540032153,6128.8357888,1170.70336,1.42938439458247,35,50,685.167417506784,614.254803126465
Guianan Highlands Moist Forests,8000,28.0834179482905,47.2413139879035,13926.4393216,9445.4685696,0.113035694279845,1,50,154.080157789607,605.156248392476
Tarim Basin Deciduous Forests And Steppe,600,2670.21059470383,46.8227019420625,0.034552056,0,0,50,1,0.1107135192,600
North Western Ghats Montane Rain Forests,2800,3046.00011258468,28.5589367922391,905.8994176,199.3213952,0.110895962676351,50,50,895.240846158649,595.314382982911
Helanshan Montane Conifer Forests,700,5761.29174355317,18.1304064188649,8.5793128,0,0.0166074373695758,50,50,10.1683540487944,571.448031326694
East Deccan Dry-Evergreen Forests,1200,38208.0167063055,25.07532422182,25.099984,0.15367728,0.149103157503389,50,50,194.255840413663,544.65907543169
Central Anatolian Steppe And Woodlands,2000,9940.07921298071,35.1532547816755,59.610432,0.12792028,0.124300494148669,50,50,20.0723628397229,543.70673261355
Maputaland Coastal Forest Mosaic,2700,2559.72915934011,29.4288768009392,650.055424,124.4281344,0.553602991620624,50,50,434.864155374491,528.642812420858
Miskito Pine Forests,1800,241.028053620716,19.1125051639759,740.9253376,138.129344,0.485400173701486,7,50,189.065503945551,524.73368992062
East Afghan Montane Conifer Forests,1300,307.744529498326,33.6333650794628,8.6271064,0.7373317,0.00448263066371211,1,50,2.91599292519532,505.196474031973
Montane Fynbos And Renosterveld,6300,2128.76308068858,76.7075579391749,373.6904192,275.0547712,3.41149155323641,5,50,405.467826563937,504.345664142245
Purus-Madeira Moist Forests,5000,46.6283254192551,28.7955090348451,15784.3324928,10100.0699904,0.836791981016306,22,50,237.657007601073,452.626683053646
Eastern Taiga Shield,1140,10.2056420260893,6.24140616509085,20328.8133632,1676.7108096,0.208962848493868,6,50,236.905965560184,450.621832507984
North Western Ghats Moist Deciduous Forests,2300,5278.77597753192,27.1985716011256,432.422912,71.5379712,0.0665225125403736,50,50,511.939610109919,442.07877816949
Vanuatu Rain Forests,950,407.312982197512,9.50268447837325,998.5883136,38.771536,0.0551723112534181,50,50,158.152096323978,391.006643902202
Northeast China Plain Deciduous Forests,1800,12511.722175436,21.7924027675954,384.4474112,0.48126045,0.131083924720153,50,50,59.0592787696212,374.240282265202
Hudson Plains,925,8.67433018109273,5.52317141998851,13175.468032,1153.9462144,0.231609891180638,15,50,121.894971427476,358.365937035671
Qilian Mountains Conifer Forests,1500,1812.79788285512,24.0245280534525,94.8815936,0.0010822121,0.0337931557608457,50,50,0.427369018426312,354.203112734733
Myanmar Coastal Rain Forests,2200,1292.39696072136,18.0988608171288,2653.732864,22.1395296,0.646801091091865,50,50,83.6067703856656,353.982403708061
Cordillera Oriental Montane Forests,5500,1040.88705327418,40.532842472404,4600.2151424,1486.6465792,0.362653944205907,50,50,413.62824124988,352.390964875045
Sierra De Los Tuxtlas,2750,9427.39783806165,40.4327324080856,145.5452416,77.4112832,0.878912973886455,14,50,810.199983189189,347.294703490935
Kayah-Karen Montane Rain Forests,4000,377.516127470721,26.9389723140787,7217.6336896,2520.4396032,0.532985189445035,50,50,337.112741021799,327.869018760316
Sierra Madre De Chiapas Moist Forests,4100,9485.68676902729,45.3750085819211,602.331648,159.3324928,0.526964029749915,50,50,553.405731016847,327.486211502234
Comoros Forests,1500,3202.11065990275,22.9766721548503,118.5825152,36.4385952,0.320778616360164,13,50,323.908271014468,320.714423972734
Naracoorte Woodlands,1500,498.711457985327,20.8261056873464,193.8277504,82.5432064,5.71690746201018,3,50,135.02165907055,320.606207080522
Western Taiga Shield,797,20.3487332502497,5.01137991765861,10174.3099904,952.1344512,1.26981799795755,20,50,184.108518256906,307.515613453088
Balsas Dry Forests,4300,1610.85097533128,43.7137118117612,920.9877504,95.6356928,0.0584259523629496,50,50,60.2241395983435,305.850649399534
Crete Mediterranean Forests,1600,5652.58104630233,28.2798575639367,57.9714048,20.9544704,0.374210917908967,7,50,267.472275300355,302.04673440704
Jarrah-Karri Forest And Shrublands,2200,908.440188614162,26.170186873474,419.8356224,235.5582976,2.78006445207522,17,50,180.205982035766,284.721632412035
Caspian Hyrcanian Mixed Forests,2000,3111.40558881237,19.0701878875509,1268.747264,233.8926336,0.0195323115017489,50,50,586.564028780424,276.098267705773
Mount Lofty Woodlands,2000,503.002169644663,31.2940720078347,106.620224,65.3039872,4.95351793510875,1,50,47.1745761572267,270.295826023659
Santa Marta Montane Forests,1600,190.52180809379,19.8294157213578,342.019072,150.109376,0.359190397550315,1,50,46.7112450463368,250.228985052837
Hispaniolan Pine Forests,2200,1876.65846692956,24.880850676975,540.4895232,292.6488832,1.20165716163419,37,50,270.862640907074,249.461915907692
Boreal Cordillera,1246,50.2848636182243,6.961821087815,18364.3652096,2141.9188224,0.376983476723054,50,50,171.655760683467,246.314688544506
Guianan Piedmont And Lowland Moist Forests,5000,43.5051942971681,27.1692413339749,21108.7474688,16606.8699136,0.381992157475194,11,50,246.568938027117,243.559430318193
Maranhao Babau Forests,3200,911.213162315351,22.1209308658981,6334.799872,977.0582016,2.03889176298872,46,50,361.823732779233,241.187123050062
Central Deccan Plateau Dry Deciduous Forests,1800,2957.40187932749,20.2681440603113,552.449536,49.0824224,0.102094164699122,50,50,132.547941643615,236.019149522262
Nicobar Islands Rain Forests,1379,822.945677924415,21.5295690501416,107.8064256,44.6914368,0.524919525930424,7,50,68.1038201780389,231.18206301698
Iberian Conifer Forests,3200,2041.2699447344,36.0664015157633,549.83936,395.714176,1.12574957250335,12,50,426.740617786407,225.504937775323
Sumba Deciduous Forests,900,1207.75680247039,11.5088938451548,292.4452864,67.7140288,0.306500976925072,50,50,192.168162248297,223.131505260715
Nujiang Langcang Gorge Alpine Conifer And Mixed Forests,3500,538.632665272687,31.0587577368337,1817.2715008,534.5905152,0.11880082554488,50,50,81.1891359727862,222.32587691654
Willamette Valley - Puget Trough - Georgia Basin: Temperate Broadleaf And Mixed Forests,2487,59358.2080539512,29.5030726521605,425.6402432,9.1134448,1.45889388710218,50,50,463.015186073467,220.84161239469
Luang Prabang Montane Rain Forests,3800,385.225226296811,28.8438634746134,3968.7233536,1043.402752,0.965714759077981,50,50,108.909264869275,217.134414172785
Maldives-Lakshadweep-Chagos Archipelago Tropical Moist Forests,380,1097.92350138401,9.09478104975398,12.7337624,1.0727135e-05,0.140764438167869,50,50,0.79178499980212,216.210533852685
Cardamom Mountains Rain Forests,3000,1061.53808877689,25.4597694560549,2271.61088,1406.00064,2.56546465993748,24,50,386.629228320194,205.230354322967
Kamchatka-Kurile Taiga,500,36.1253397295817,5.127601852669,881.6141312,68.6214912,0.0734503635850873,5,50,35.7061954356621,200.372802778468
Eyre And York Mallee,2000,3289.56781591921,29.1538497684337,151.9394048,87.2105536,1.04282786962238,46,50,117.69580883131,198.756696680464
Eastern Himalayan Broadleaf Forests,4500,1552.66936919698,32.0304269053515,5473.2959744,1187.7300224,0.187370295777448,50,50,324.367480723697,185.490944206656
Sundarbans Freshwater Swamp Forests,800,79329.3934225913,15.5890205315776,35.5922784,0.079428588,0.00691798296392942,50,50,59.8421571338702,180.396906834933
Sulu Archipelago Rain Forests,1400,11496.0651038257,20.261445749533,157.5027072,0.19385398,0.466214415138052,50,50,8.14598195420957,180.125731118896
Mediterranean Conifer And Mixed Forests,2300,8272.60132829233,28.5499564161537,339.3219328,77.5375744,0.567352002647382,50,50,229.234751169429,174.917419178591
Tian Shan Montane Conifer Forests,1500,1858.61108272987,19.7719666927568,251.3083648,60.1716032,0.0318099587389891,50,50,63.3983538721885,168.042966901191
Zagros Mountains Forest Steppe,1800,6694.70054403434,36.5032049720859,29.1546304,1.6164183,0.0271676842085184,50,50,6.55021834061135,159.779457583
South Sakhalin-Kurile Mixed Forests,1000,1667.83956233505,10.6108629325915,743.4409472,185.0678912,0.346093562222315,50,50,246.357859930573,143.952852300307
Northeast Siberian Taiga,800,36.7766490964015,4.39097120408801,20074.6041344,2649.8709504,0.38819343565106,50,50,114.524308448398,133.251807053846
Yap Tropical Dry Forests,120,1797.59252685496,3.45185523170783,5.0774232,0,0.0747625330896192,1,50,11.0999387501977,119.936195082851
Corsican Montane Broadleaf And Mixed Forests,1800,2424.58240728349,25.0548005441848,191.3849472,142.2198784,0.769938310347691,21,50,109.7180885504,110.266810416294
Pata Valley Dry Forests,900,3082.79179965191,16.0249855536409,55.875872,0.026943369,0.385130575057459,50,50,0.338347637707923,101.801538736591
Cape Verde Islands Dry Forests,257,8374.15503972698,7.74131042733446,4.0326748,0.3529785,0.0792371207373826,11,50,37.3321014727048,99.3085695619249
Mediterranean Acacia-Argania Dry Woodlands And Succulent Thickets,1600,4385.66209054351,38.8191580725892,11.8951344,8.9232448,0.31745280511093,5,50,16.525262079585,92.5197384683088
Cayos Miskitos-San Andrs & Providencia Moist Forests,350,61095.1243406411,10.8383104052555,3.5118204,1.0015042,0.710459662412249,13,50,195.172386865918,80.4182102778231
Bermuda Subtropical Conifer Forests,167,354415.56003069,9.51327222396696,0.1666989,0.010284413,0.0370413419570273,11,50,66.7585773364221,71.3865299350088
Richmond Temperate Forests,1000,1106.8109095175,11.2668805085009,550.7843072,345.4017792,2.44804192886359,26,50,88.6270078773839,62.4843754805828
Cyprus Mediterranean Forests,1500,3790.76959844204,25.0689206817217,76.6969536,63.8887488,0.894620142238825,4,50,67.58111802693,59.5557496201566
Sao Tome And Principe Moist Lowland Forests,950,328.97970746,23.9697576526743,9.7791208,7.265996,0.126493582809736,1,50,1.01470986741325,55.6174470162897
South Island Temperate Forests,650,408.441489030284,8.26100947409319,301.5790592,177.3458048,1.60289304954407,34,50,24.4025556226612,55.2048731182653
Cuban Moist Forests,3500,4080.58228825969,34.5571778696063,1065.734144,338.4640512,0.935170147560343,50,50,65.1203899514404,44.6532305655614
Nelson Coast Temperate Forests,1300,255.022243667909,12.8466387983926,1061.1314688,935.446016,1.52126261027402,7,50,48.8044329549916,38.248820199153
Borneo Montane Rain Forests,4000,523.910197626565,25.0089240017077,10467.0650368,2462.3153152,0.312668443992242,50,50,40.155872423657,32.5319870345011
Queensland Tropical Rain Forests,4800,1307.35914010784,43.5243222358932,1631.3460736,1078.0552192,0.471389103806593,50,50,28.7894224279111,30.2895341068988
Trans-Baikal Conifer Forests,1000,65.3616852842552,7.01789147815198,5874.4438784,1084.0034304,1.30112368323089,50,50,8.73362445414847,28.1128903305836
Sierra De La Laguna Pine-Oak Forests,800,33.1305207486209,17.2861146602744,21.2306352,18.6898448,0.199350414737083,1,50,0.104637839918165,20.6678187913809
Westland Temperate Forests,700,160.711825100146,8.73079736871111,331.2994048,296.4079872,1.22240017556638,7,50,8.15157491050762,17.6897492426823
Interior Alaska Taiga,810,126.590205060793,5.12357159246652,9875.5444736,2170.6500096,1.16196818552556,50,50,15.2838427947598,11.1716993906651
Veracruz Moist Forests,6000,8222.08907752554,52.2412243124213,1998.4326656,280.3727104,0.898849097393828,50,50,23.5928864458242,10.4149815416222
Hawaiian High Islands: Hawaii Tropical Dry Forests,659,77693.4116945059,12.1720219093144,46.5171872,5.686272,0.262533743059475,50,50,15.1915566044772,5.18601563768357
Fiordland Temperate Forests,750,4.23988079365183,8.16947461917062,652.1322496,650.9246976,14.274177012667,1,8,0.0219295690015484,0.847208477849222
Irrawaddy Freshwater Swamp Forests,1000,18021.8932458888,19.1659847729084,38.6673408,0.26441048,0.180052700207592,50,50,0,8.12173084341339e-09
Mediterranean Dry Woodlands And Steppe,1200,104450.802344585,23.8985629410885,31.9188544,1.3316418,0.178276421304241,50,50,0,2.77918843494263e-09
Northeast India-Myanmar Pine Forests,1000,3806.52810010572,11.3985104415616,519.7081088,0.19536088,0.699942169765573,50,50,0,1.98107841242745e-09
Veracruz Dry Forests,1100,8771.58879133458,17.936383309842,86.7539072,2.2994064,0.462543080948505,50,50,0,1.33411504066316e-09
Irrawaddy Dry Forests,1000,1403.44256992994,13.5450327360309,219.3308416,2.2313506,1.13067386233531,50,50,0,6.71207089908421e-10
Madeira Evergreen Forests,760,42485.9513176023,18.7515192247014,10.936684,6.5212604,0.65763312041001,50,50,0,6.10157258051913e-10
Swan Coastal Plain Scrub and Woodlands,2300,53401.2927095259,40.986596842415,55.6454784,15.1724096,6.75957638280199,15,50,0,6.02540239924565e-10
Southeastern Iberian Shrubs And Woodlands,400,19132.5820174008,13.2059850277349,2.5494468,2.085428,0.896069814412692,50,50,0,3.57829321728786e-10
Cauca Valley Dry Forests,1000,16085.5210271842,13.4914829509002,223.7183232,5.1555972,0.305150796847217,50,50,0,3.51178641722072e-10
Peninsular Malaysian Peat Swamp Forests,1100,7383.92860974038,15.4666002183497,181.9655296,2.489227,3.54182736545855,29,50,0,3.31795035890536e-10
Khathiar-Gir Dry Deciduous Forests,1400,16694.7761077968,26.8302989339674,38.6823296,6.5070176,0.0376107122131403,50,50,0,2.93653101834934e-10
South Deccan Plateau Dry Deciduous Forests,2000,4557.84406349239,24.2711698713498,379.9237376,24.8781296,0.0639834699771867,50,50,0,2.70802047452889e-10
Sierra Madre De Oaxaca Pine-Oak Forests,3100,2188.49841498634,32.7778329480095,756.6713344,44.4834528,0.260254358138744,50,50,0,2.26918928092346e-10
Eastern Mediterranean Conifer-Sclerophyllous-Broadleaf Forests,3200,29185.5148865935,43.6798350544481,211.0303616,8.4063688,0.862539117825537,50,50,0,1.89629645319656e-10
Chao Phraya Freshwater Swamp Forests,1100,135121.250809691,16.9286893853284,115.8368512,1.4571863,0.299474850096365,50,50,0,1.49384504766203e-10
Cross-Niger Transition Forests,2100,48554.7694942761,24.9755734090602,420.2610432,13.7627696,0.653030866894191,50,50,0,1.44609657581896e-10
Huang He Plain Mixed Forests,2800,23444.0839731542,28.7982267024023,868.8832512,6.7679512,0.0480822982726324,50,50,0,1.4210854715202e-10
Caatinga Enclaves Moist Forests,1500,6125.54004864198,22.4637742621326,132.7524864,55.7511744,0.715520016074531,50,50,0,1.30512489704415e-10
Mount Cameroon And Bioko Montane Forests,3300,5767.68832946998,55.9841146662489,71.1615872,47.7261376,0.516947667178529,50,50,0,1.23691279441118e-10
Fiji Tropical Dry Forests,500,2324.01982550921,6.08823195369149,373.588992,11.8534464,0.349829237240433,50,50,0,1.22156507131876e-10
Atlantic Coast Restingas,1500,8724.35119766745,23.935353285271,96.6622912,39.9324768,2.03177802041249,50,50,0,1.18006937555037e-10
Maran Dry Forests,1400,960.236558709844,17.0209163614616,376.4657664,46.3015488,0.301684145919997,50,50,0,1.15164766611997e-10
Western Java Rain Forests,3500,48097.0992020185,32.9035121410631,1361.8489344,68.9226304,0.339760679816752,50,50,0,1.07775122160092e-10
Cuban Pine Forests,1500,3921.75820513523,19.6974152854053,256.1003008,38.2605696,0.94317652187775,50,50,0,1.01408659247682e-10
Mindoro Rain Forests,2500,6260.69589445812,29.0138403326841,474.9785088,64.2945984,0.428623073712702,50,50,0,9.95896698441356e-11
Red River Freshwater Swamp Forests,800,33811.3654742118,17.9944814799816,17.3681376,2.843777,1.46867621835277,50,50,0,9.17452780413441e-11
Panamanian Dry Forests,1900,14374.712548282,30.82382104751,88.9888576,5.826796,0.439011422968379,50,50,0,9.02673491509631e-11
Kwazulu-Cape Coastal Forest Mosaic,2000,19467.1826284911,23.1488638959764,481.3949952,26.0624272,0.722184537434625,50,50,0,8.04902811069042e-11
Veracruz Montane Forests,2700,9829.28085182997,33.804583405095,325.0430464,18.7068096,0.281983616768122,50,50,0,7.61701812734827e-11
Sichuan Basin Evergreen Broadleaf Forests,3000,52244.0328236583,28.4984066737572,1292.7167488,14.5405552,0.0960370022651312,50,50,0,7.59428075980395e-11
South Taiwan Monsoon Rain Forests,2700,15803.9823985996,40.6076865939712,129.9503872,24.9597184,0.248655145246584,50,50,0,7.5488060247153e-11
Windward Islands Moist Forests,1600,11528.0627023978,24.0398906582568,130.5982848,73.0956544,2.15421154020808,47,50,0,7.36690708436072e-11
Qin Ling Mountains Deciduous Forests,3400,3365.98770580905,25.0437649836853,4612.0763392,129.9307904,0.0253746779888595,50,50,0,7.16227077646181e-11
Southern Korea Evergreen Forests,2300,72306.772467911,26.9366621259117,453.858304,90.3908352,0.249265609104217,50,50,0,7.09405867382884e-11
Brahmaputra Valley Semi-Evergreen Forests,2500,9008.30580903746,25.3846841788512,926.4910336,82.7876032,0.732703859823017,50,50,0,6.98037183610722e-11
Puerto Rican Dry Forests,900,55188.4496006335,17.5621015337448,35.3451744,9.7997112,0.449232605811587,50,50,0,6.84394763084129e-11
South China-Vietnam Subtropical Evergreen Forests,6500,21180.9882315623,46.731075753936,5206.4043008,170.2775808,1.36930171606166,50,50,0,6.73026079311967e-11
Gurupa Varze,2500,302.282427210069,30.89149213395,347.1407616,188.7473536,1.76733478706387,50,50,0,6.63931132294238e-11
Crimean Submediterranean Forest Complex,2600,2274.31774801565,23.9587055933686,1505.0467328,152.5610624,0.027772456908095,50,50,0,6.16182660451159e-11
Changjiang Plain Evergreen Forests,3000,12359.6243982292,20.4734756761194,6755.3583104,64.4301248,0.379056837802925,50,50,0,6.09361450187862e-11
Bahamian Pine Mosaic,750,4269.26833542226,10.9285376294834,152.2285312,14.9769552,0.545785171894857,50,50,0,6.01971805735957e-11
Guinean Montane Forests,2700,719.870280236946,27.5840386029199,898.5237504,214.4954496,1.17719246273619,50,50,0,5.29780663782731e-11
Euxine-Colchic Broadleaf Forests,3200,7586.95541515465,25.360571912226,3198.56128,48.644704,0.137143200328363,50,50,0,5.13864506501705e-11
Buru Rain Forests,1700,192.323391043751,18.6412883802121,630.761216,6.0234684,0.318486982360789,50,50,0,4.99085217597894e-11
Sri Lanka Montane Rain Forests,2200,27902.2845567294,30.5950103106964,192.24736,70.2407424,0.292475676335773,50,50,0,4.95674612466246e-11
Sierra De La Laguna Dry Forests,550,489.33024687782,14.274207675898,8.4928488,4.9916864,0.352432380743036,50,50,0,4.81463757751044e-11
Chiapas Depression Dry Forests,2100,3007.23643220294,27.3258263883838,268.0587264,12.5238968,0.478496767706378,50,50,0,4.20641299569979e-11
Cuban Dry Forests,2500,6357.87531371444,23.6930155838473,1307.9716864,246.815872,0.527523585512759,50,50,0,4.13820089306682e-11
Luzon Tropical Pine Forests,1300,3902.08362291775,14.938424132891,499.106048,86.6812608,0.111567833525211,50,50,0,4.10409484175034e-11
Eastern Arc Forests,3200,2195.98713071744,33.8289146206719,757.3725696,232.743424,0.875933187955923,50,50,0,4.09272615797818e-11
Eastern Java-Bali Montane Rain Forests,1500,14944.6814861272,15.2908156401228,908.4541952,93.8988096,0.222484834308117,50,50,0,3.88808985007927e-11
Malabar Coast Moist Forests,1500,83655.8557971583,15.6662821793344,804.6862336,16.9839776,0.16449173404424,50,50,0,3.83124643121846e-11
Albany Thickets,1200,4584.15082218155,17.2825754695299,161.38528,49.7851104,0.292576168271343,50,50,0,3.69482222595252e-11
Tonle Sap-Mekong Peat Swamp Forests,700,8607.81935944952,10.1210769483687,158.2546816,25.3238896,0.900996211622662,50,50,0,3.62661012331955e-11
Trobriand Islands Rain Forests,2800,528.85694336012,35.6638925715127,298.2953216,21.7209632,0.512053976439777,50,50,0,3.54702933691442e-11
Eastern Java-Bali Rain Forests,2900,53401.8352198773,28.273516010875,1135.248384,95.9122048,0.287237879306569,50,50,0,3.45607986673713e-11
Northern Triangle Temperate Forests,2500,404.727782036008,25.5526432409667,896.439296,381.2108288,0.262740781260931,50,50,0,3.2287061912939e-11
Nigerian Lowland Forests,3000,21159.5916856696,25.7553208737652,2144.2304,404.711424,0.917291838729559,50,50,0,2.95585778076202e-11
Tyrrhenian-Adriatic Sclerophyllous And Mixed Forests,3300,16092.0872017206,30.4606675892062,1492.356608,530.1262848,0.453595682319067,50,50,0,2.91038304567337e-11
Madagascar Dry Deciduous Forests,2100,286.429987511437,17.8680304428002,2242.3998464,277.326848,0.835749268010501,50,50,0,2.79669620795175e-11
Costa Rican Seasonal Moist Forests,3300,21902.4216537636,37.2799616587638,543.491072,76.9969792,0.414237742733535,50,50,0,2.72848410531878e-11
