Ecoregion,# species,Initial cost ($/ha),SAR alpha,Initial forest (kha),Initial prot. forest (kha),Deforest. rate (%),Conservation end period,Overall end period,Total spend (M$),Expected new spp. conserved
Sierra Madre De Chiapas Moist Forests,4100,9485.69,45.38,602.3,159.3,0.53,50,50,553.4,327
Kayah-Karen Montane Rain Forests,4000,377.52,26.94,7217.6,2520.4,0.53,50,50,337.1,328
Kamchatka-Kurile Taiga,500,36.13,5.13,881.6,68.6,0.07,5,50,35.7,200
Maldives-Lakshadweep-Chagos Archipelago Tropical Moist Forests,380,1097.92,9.09,12.7,0,0.14,50,50,0.8,216
Mount Lofty Woodlands,2000,503,31.29,106.6,65.3,4.95,1,50,47.2,270
Balsas Dry Forests,4300,1610.85,43.71,921,95.6,0.06,50,50,60.2,306
Iberian Conifer Forests,3200,2041.27,36.07,549.8,395.7,1.13,12,50,426.7,226
Caspian Hyrcanian Mixed Forests,2000,3111.41,19.07,1268.7,233.9,0.02,50,50,586.6,276
Sumba Deciduous Forests,900,1207.76,11.51,292.4,67.7,0.31,50,50,192.2,223
Boreal Cordillera,1246,50.28,6.96,18364.4,2141.9,0.38,50,50,171.7,246
Hispaniolan Pine Forests,2200,1876.66,24.88,540.5,292.6,1.2,37,50,270.9,249
Maranhao Babau Forests,3200,911.21,22.12,6334.8,977.1,2.04,46,50,361.8,241
Central Deccan Plateau Dry Deciduous Forests,1800,2957.4,20.27,552.4,49.1,0.1,50,50,132.5,236
Willamette Valley - Puget Trough - Georgia Basin: Temperate Broadleaf And Mixed Forests,2487,59358.21,29.5,425.6,9.1,1.46,50,50,463,221
Luang Prabang Montane Rain Forests,3800,385.23,28.84,3968.7,1043.4,0.97,50,50,108.9,217
Sundarbans Freshwater Swamp Forests,800,79329.39,15.59,35.6,0.1,0.01,50,50,59.8,180
Jarrah-Karri Forest And Shrublands,2200,908.44,26.17,419.8,235.6,2.78,17,50,180.2,285
Nujiang Langcang Gorge Alpine Conifer And Mixed Forests,3500,538.63,31.06,1817.3,534.6,0.12,50,50,81.2,222
Sulu Archipelago Rain Forests,1400,11496.07,20.26,157.5,0.2,0.47,50,50,8.1,180
Cardamom Mountains Rain Forests,3000,1061.54,25.46,2271.6,1406,2.57,24,50,386.6,205
Eyre And York Mallee,2000,3289.57,29.15,151.9,87.2,1.04,46,50,117.7,199
Yap Tropical Dry Forests,120,1797.59,3.45,5.1,0,0.07,1,50,11.1,120
Eastern Himalayan Broadleaf Forests,4500,1552.67,32.03,5473.3,1187.7,0.19,50,50,324.4,185
Mediterranean Conifer And Mixed Forests,2300,8272.6,28.55,339.3,77.5,0.57,50,50,229.2,175
Tian Shan Montane Conifer Forests,1500,1858.61,19.77,251.3,60.2,0.03,50,50,63.4,168
Zagros Mountains Forest Steppe,1800,6694.7,36.5,29.2,1.6,0.03,50,50,6.6,160
Cape Verde Islands Dry Forests,257,8374.16,7.74,4,0.4,0.08,11,50,37.3,99
South Sakhalin-Kurile Mixed Forests,1000,1667.84,10.61,743.4,185.1,0.35,50,50,246.4,144
Corsican Montane Broadleaf And Mixed Forests,1800,2424.58,25.05,191.4,142.2,0.77,21,50,109.7,110
Northeast Siberian Taiga,800,36.78,4.39,20074.6,2649.9,0.39,50,50,114.5,133
Mediterranean Acacia-Argania Dry Woodlands And Succulent Thickets,1600,4385.66,38.82,11.9,8.9,0.32,5,50,16.5,93
Pata Valley Dry Forests,900,3082.79,16.02,55.9,0,0.39,50,50,0.3,102
Cayos Miskitos-San Andrs & Providencia Moist Forests,350,61095.12,10.84,3.5,1,0.71,13,50,195.2,80
Bermuda Subtropical Conifer Forests,167,354415.56,9.51,0.2,0,0.04,11,50,66.8,71
Sao Tome And Principe Moist Lowland Forests,950,328.98,23.97,9.8,7.3,0.13,1,50,1,56
Cyprus Mediterranean Forests,1500,3790.77,25.07,76.7,63.9,0.89,4,50,67.6,60
Richmond Temperate Forests,1000,1106.81,11.27,550.8,345.4,2.45,26,50,88.6,62
South Island Temperate Forests,650,408.44,8.26,301.6,177.3,1.6,34,50,24.4,55
Nelson Coast Temperate Forests,1300,255.02,12.85,1061.1,935.4,1.52,7,50,48.8,38
Cuban Moist Forests,3500,4080.58,34.56,1065.7,338.5,0.94,50,50,65.1,45
Sierra De La Laguna Pine-Oak Forests,800,33.13,17.29,21.2,18.7,0.2,1,50,0.1,21
Borneo Montane Rain Forests,4000,523.91,25.01,10467.1,2462.3,0.31,50,50,40.2,33
Queensland Tropical Rain Forests,4800,1307.36,43.52,1631.3,1078.1,0.47,50,50,28.8,30
Trans-Baikal Conifer Forests,1000,65.36,7.02,5874.4,1084,1.3,50,50,8.7,28
Westland Temperate Forests,700,160.71,8.73,331.3,296.4,1.22,7,50,8.2,18
Veracruz Moist Forests,6000,8222.09,52.24,1998.4,280.4,0.9,50,50,23.6,10
Interior Alaska Taiga,810,126.59,5.12,9875.5,2170.7,1.16,50,50,15.3,11
Hawaiian High Islands: Hawaii Tropical Dry Forests,659,77693.41,12.17,46.5,5.7,0.26,50,50,15.2,5
Fiordland Temperate Forests,750,4.24,8.17,652.1,650.9,14.27,1,8,0,1
Banda Sea Islands Moist Deciduous Forests,1200,292.93,13.8,496.4,95.4,0.48,50,50,0,0
Biak-Numfoor Rain Forests,1500,3132.67,20.22,224.7,44.4,0.34,50,50,0,0
Buru Rain Forests,1700,192.32,18.64,630.8,6,0.32,50,50,0,0
Central Range Montane Rain Forests,7500,1405.99,43.73,14838.7,2194.8,0.11,50,50,0,0
Halmahera Rain Forests,2000,496.84,17.11,2179.6,193.2,0.49,50,50,0,0
Japen Rain Forests,1500,4573.68,20.33,218.8,107.6,0.21,50,50,0,0
New Britain-New Ireland Lowland Rain Forests,2700,367.81,21.87,2866.6,74.9,0.63,50,50,0,0
Northern New Guinea Lowland Rain And Freshwater Swamp Forests,4400,366.97,27.13,11228.1,1403,0.2,50,50,0,0
Northern New Guinea Montane Rain Forests,3000,689.95,25.7,2167,319.8,0.09,50,50,0,0
Seram Rain Forests,2100,573.8,19.12,1596.6,184.7,0.39,50,50,0,0
Southern New Guinea Freshwater Swamp Forests,2100,192.16,14.01,7567.9,464.4,0.14,50,50,0,0
Southern New Guinea Lowland Rain Forests,4000,573.41,24.8,10925.7,573.8,0.15,50,50,0,0
Sulawesi Lowland Rain Forests,3900,3453.63,26.69,6657.3,589.8,1.15,50,50,0,0
Sulawesi Montane Rain Forests,2200,548.28,15.34,6074.5,960.7,0.41,50,50,0,0
Trobriand Islands Rain Forests,2800,528.86,35.66,298.3,21.7,0.51,50,50,0,0
Vogelkop-Aru Lowland Rain Forests,3500,1003.89,23.93,6698.7,615.4,0.2,50,50,0,0
Timor And Wetar Deciduous Forests,1600,1024.06,15.44,1194.1,200.6,0.32,50,50,0,0
Eastern Australian Temperate Forests,3700,6399.37,25.23,6780.9,2844.9,0.52,50,50,0,0
North Island Temperate Forests,1200,1899.24,9.64,2987.2,1338.3,1.85,50,50,0,0
Northland Temperate Kauri Forests,850,6809.61,8.87,808.4,264.9,1.58,50,50,0,0
Rakiura Island Temperate Forests,570,26.43,8.74,117.8,109.6,0.04,50,50,0,0
Southeast Australia Temperate Forests,2400,2218.32,16.95,5699.5,2150,1,50,50,0,0
Tasmanian Central Highland Forests,700,535.45,7.95,530.5,356.2,1.29,50,50,0,0
Tasmanian Temperate Forests,600,1446.6,5.85,1136.9,354.6,1.49,50,50,0,0
Tasmanian Temperate Rain Forests,800,348.08,6.98,1971.8,1426.9,2.4,42,50,0,0
Swan Coastal Plain Scrub and Woodlands,2300,53401.29,40.99,55.6,15.2,6.76,15,50,0,0
Murray-Darling Woodlands And Mallee,1100,302.32,14.8,227.1,127.5,6.31,16,50,0,0
Southwest Australia Savanna,1900,748.19,28.44,133.1,45.4,2.49,41,50,0,0
Southwest Australia Woodlands,2000,1544.84,19.92,1020.7,309.6,1.67,50,50,0,0
Albertine Rift Montane Forests,3500,1530.73,25.72,4667.8,1228,0.68,50,50,0,0
Atlantic Equatorial Coastal Forests,6000,936.98,34.79,15257.4,3890.3,0.27,50,50,0,0
Cameroonian Highlands Forests,3300,1601.75,30.43,1499.3,196.6,0.14,50,50,0,0
Cross-Niger Transition Forests,2100,48554.77,24.98,420.3,13.8,0.65,50,50,0,0
Cross-Sanaga-Bioko Coastal Forests,4000,1872.24,31.94,3082.5,742,0.38,50,50,0,0
East African Montane Forests,4000,3804.38,35.56,1800.3,926,1.05,50,50,0,0
Eastern Arc Forests,3200,2195.99,33.83,757.4,232.7,0.88,50,50,0,0
Eastern Congolian Swamp Forests,2000,166.9,13.32,7624.1,1768.2,0.65,50,50,0,0
Eastern Guinean Forests,3200,3576.38,21.8,6817.6,1729,1.61,50,50,0,0
Ethiopian Montane Forests,4000,1440.81,30.5,3882.5,927.3,0.21,50,50,0,0
Guinean Montane Forests,2700,719.87,27.58,898.5,214.5,1.18,50,50,0,0
Knysna-Amatole Montane Forests,1000,6539.73,15.43,114.2,90.6,6.41,16,50,0,0
Kwazulu-Cape Coastal Forest Mosaic,2000,19467.18,23.15,481.4,26.1,0.72,50,50,0,0
Madagascar Subhumid Forests,3200,534.47,25.08,3380.3,733.5,0.79,50,50,0,0
Mascarene Forests,950,47727.41,13.46,174.9,97.9,0.39,50,50,0,0
Mount Cameroon And Bioko Montane Forests,3300,5767.69,55.98,71.2,47.7,0.52,50,50,0,0
Niger Delta Swamp Forests,1500,24412.56,16.83,562.6,52,0.32,50,50,0,0
Nigerian Lowland Forests,3000,21159.59,25.76,2144.2,404.7,0.92,50,50,0,0
Northeastern Congolian Lowland Forests,3600,91.3,16.83,44791.7,5622.7,0.5,50,50,0,0
Northern Zanzibar-Inhambane Coastal Forest Mosaic,3300,2267.26,27.5,2486.4,666.2,1,50,50,0,0
Northwestern Congolian Lowland Forests,4100,267.68,19.98,36414,5865.2,0.16,50,50,0,0
Southern Zanzibar-Inhambane Coastal Forest Mosaic,2800,343.04,20.99,4221.3,640.3,1.09,50,50,0,0
Western Congolian Swamp Forests,2100,216.93,13.19,10216,2037.4,0.31,50,50,0,0
Western Guinean Lowland Forests,3300,894.06,20.89,9833.1,1731.4,1.51,50,50,0,0
Madagascar Dry Deciduous Forests,2100,286.43,17.87,2242.4,277.3,0.84,50,50,0,0
Zambezian Cryptosepalum Dry Forests,1300,153.76,12.56,1187.6,325.4,0.39,50,50,0,0
Albany Thickets,1200,4584.15,17.28,161.4,49.8,0.29,50,50,0,0
Lowland Fynbos And Renosterveld,3000,13553.64,39.16,263.8,164.2,3.52,29,50,0,0
Borneo Lowland Rain Forests,10000,2836.12,51.26,28248,1827,1.68,50,50,0,0
Borneo Peat Swamp Forests,2500,5720.51,19.88,3141.4,300.2,3.84,27,50,0,0
Brahmaputra Valley Semi-Evergreen Forests,2500,9008.31,25.38,926.5,82.8,0.73,50,50,0,0
Chao Phraya Freshwater Swamp Forests,1100,135121.25,16.93,115.8,1.5,0.3,50,50,0,0
Chao Phraya Lowland Moist Deciduous Forests,2000,30955.94,25.16,317.6,155.2,1.13,50,50,0,0
Eastern Highlands Moist Deciduous Forests,1600,1777.19,12.01,4202,500.5,0.18,50,50,0,0
Eastern Java-Bali Montane Rain Forests,1500,14944.68,15.29,908.5,93.9,0.22,50,50,0,0
Eastern Java-Bali Rain Forests,2900,53401.84,28.27,1135.2,95.9,0.29,50,50,0,0
Greater Negros-Panay Rain Forests,3000,13878.6,29.85,1025.5,165.5,0.28,50,50,0,0
Himalayan Subtropical Broadleaf Forests,1800,2326.7,16.75,1434.1,264.5,0.06,50,50,0,0
Irrawaddy Freshwater Swamp Forests,1000,18021.89,19.17,38.7,0.3,0.18,50,50,0,0
Irrawaddy Moist Deciduous Forests,1800,556.86,13.83,3739.7,183.2,0.36,50,50,0,0
Jian Nan Subtropical Evergreen Forests,5500,8338,28.49,26821.5,159.9,0.75,50,50,0,0
Lower Gangetic Plains Moist Deciduous Forests,3500,22179.15,34.54,1068.5,74.5,0.67,50,50,0,0
Luzon Montane Rain Forests,1500,598.51,16.35,650.1,320.6,0.32,50,50,0,0
Luzon Rain Forests,5000,11017.61,37.72,4093.6,696.5,0.37,50,50,0,0
Malabar Coast Moist Forests,1500,83655.86,15.67,804.7,17,0.16,50,50,0,0
Mentawai Islands Rain Forests,1500,665.34,17.05,527.1,174.7,0.34,50,50,0,0
Mindanao Montane Rain Forests,2000,2441.31,19.17,1235.2,306.6,0.32,50,50,0,0
Mindanao-Eastern Visayas Rain Forests,4300,7802.84,30.64,5445.4,627.9,0.55,50,50,0,0
Mindoro Rain Forests,2500,6260.7,29.01,475,64.3,0.43,50,50,0,0
Mizoram-Manipur-Kachin Rain Forests,3800,1055.76,24.65,8705.8,568.7,0.5,50,50,0,0
Northern Annamites Rain Forests,3000,385.8,23.91,3109.6,1242.2,1.32,50,50,0,0
Northern Indochina Subtropical Forests,7000,1161,38.64,19509.1,1835.8,0.81,50,50,0,0
Northern Khorat Plateau Moist Deciduous Forests,1500,1999.11,20.44,212.7,42,3.07,33,50,0,0
Northern Thailand-Laos Moist Deciduous Forests,2300,642.13,19.7,2168.2,648.6,0.84,50,50,0,0
Northern Triangle Subtropical Forests,3500,147.13,26.01,4414.3,1656.8,0.44,50,50,0,0
Northern Vietnam Lowland Rain Forests,2800,2483.68,32.73,457.9,179.4,3.54,29,50,0,0
Palawan Rain Forests,2700,3466.97,27.64,888.7,746.2,4.67,22,50,0,0
Peninsular Malaysian Montane Rain Forests,3200,1275.05,29.44,1517.6,494.2,0.4,50,50,0,0
Peninsular Malaysian Peat Swamp Forests,1100,7383.93,15.47,182,2.5,3.54,29,50,0,0
Peninsular Malaysian Rain Forests,7000,33146.59,48.7,6134.4,932.5,3.18,32,50,0,0
Red River Freshwater Swamp Forests,800,33811.37,17.99,17.4,2.8,1.47,50,50,0,0
South China-Vietnam Subtropical Evergreen Forests,6500,21180.99,46.73,5206.4,170.3,1.37,50,50,0,0
South Western Ghats Moist Deciduous Forests,2300,14166.55,24.46,734.6,282.6,0.19,50,50,0,0
South Western Ghats Montane Rain Forests,3300,10778.75,31.35,1292.6,374.9,0.15,50,50,0,0
Southern Annamites Montane Rain Forests,4000,751.2,31.9,3101.8,992.8,1.1,50,50,0,0
Southwest Borneo Freshwater Swamp Forests,1400,4335.79,12.65,1659.8,339.2,3.28,31,50,0,0
Sri Lanka Lowland Rain Forests,2000,66317.51,20.75,831.4,130.8,0.23,50,50,0,0
Sri Lanka Montane Rain Forests,2200,27902.28,30.6,192.2,70.2,0.29,50,50,0,0
Sumatran Freshwater Swamp Forests,1600,30004.36,18.14,534.5,30.5,5.26,19,50,0,0
Sumatran Lowland Rain Forests,7500,9401,45.2,12578.3,1444.4,2.87,35,50,0,0
Sumatran Montane Rain Forests,3500,3316.34,24.77,5629.7,2083.9,0.54,50,50,0,0
Sumatran Peat Swamp Forests,2000,7751.08,15.89,3159.9,483.8,6.46,16,50,0,0
Sundaland Heath Forests,1600,5709.72,12.26,3792,548.3,3.44,30,50,0,0
Tenasserim-South Thailand Semi-Evergreen Rain Forests,4000,4087.21,28.34,5605.9,1739.8,1.5,50,50,0,0
Tonle Sap Freshwater Swamp Forests,800,4410.95,9.21,495.4,194.1,0.66,50,50,0,0
Tonle Sap-Mekong Peat Swamp Forests,700,8607.82,10.12,158.3,25.3,0.9,50,50,0,0
Upper Gangetic Plains Moist Deciduous Forests,2100,14011.39,25.89,350.8,57.1,0.06,50,50,0,0
Western Java Montane Rain Forests,2000,28132.52,18.42,1509.2,172.1,0.14,50,50,0,0
Western Java Rain Forests,3500,48097.1,32.9,1361.8,68.9,0.34,50,50,0,0
Nansei Islands Subtropical Evergreen Forests,2000,13475.44,27.17,216,60.3,0.26,50,50,0,0
South Taiwan Monsoon Rain Forests,2700,15803.98,40.61,130,25,0.25,50,50,0,0
Taiwan Subtropical Evergreen Forests,3000,32296.86,26.51,1856.5,563.3,0.11,50,50,0,0
Central Indochina Dry Forests,3000,1507.12,22.85,3903.4,1416.9,1.34,50,50,0,0
Chhota-Nagpur Dry Deciduous Forests,1200,4700.38,13.99,463.8,83.5,0.04,50,50,0,0
Irrawaddy Dry Forests,1000,1403.44,13.55,219.3,2.2,1.13,50,50,0,0
Khathiar-Gir Dry Deciduous Forests,1400,16694.78,26.83,38.7,6.5,0.04,50,50,0,0
Narmada Valley Dry Deciduous Forests,1000,4034.6,12.8,290.7,61.7,0.03,50,50,0,0
Northern Dry Deciduous Forests,1000,2238.93,11.79,439.3,18.3,0.15,50,50,0,0
South Deccan Plateau Dry Deciduous Forests,2000,4557.84,24.27,379.9,24.9,0.06,50,50,0,0
Southeastern Indochina Dry Evergreen Forests,4000,2669.18,29.46,4617.7,2083.1,3.58,28,50,0,0
Southern Vietnam Lowland Dry Forests,1700,2733.99,16.79,1065,125.9,2.2,46,50,0,0
Sri Lanka Dry-Zone Dry Evergreen Forests,1200,13051.13,10.45,2001,1075.1,0.56,50,50,0,0
Himalayan Subtropical Pine Forests,1000,5782.96,8.42,2366.1,119.3,0.03,50,50,0,0
Luzon Tropical Pine Forests,1300,3902.08,14.94,499.1,86.7,0.11,50,50,0,0
Northeast India-Myanmar Pine Forests,1000,3806.53,11.4,519.7,0.2,0.7,50,50,0,0
Sumatran Tropical Pine Forests,1000,192.81,13.49,223.5,98.4,0.83,50,50,0,0
Northern Triangle Temperate Forests,2500,404.73,25.55,896.4,381.2,0.26,50,50,0,0
Western Himalayan Broadleaf Forests,1200,4788.28,11.06,1501,82.6,0.02,50,50,0,0
Eastern Himalayan Subalpine Conifer Forests,2000,445.96,18.76,1375.4,552.5,0.04,50,50,0,0
Western Himalayan Subalpine Conifer Forests,1000,1785.59,10.58,754.8,82.6,0.05,50,50,0,0
Sierra Madre Oriental Pine-Oak Forests,3300,1564.19,29.54,1739.4,608.8,0.13,50,50,0,0
Central Appalachian Forest,1883,14117.24,13.15,6019,380,0.2,50,50,0,0
Cumberlands And Southern Ridge And Valley,2398,16469.76,16.02,7511.1,309.8,0.78,50,50,0,0
Great Lakes,2332,16432.77,13.47,15546.1,2137.5,0.3,50,50,0,0
High Allegheny Plateau,1553,11408.63,11.31,4875.5,241.4,0.1,50,50,0,0
Interior Low Plateau,1228,14967.67,8.35,6891.9,389.7,0.28,50,50,0,0
Lower New England / Northern Piedmont,1381,99162.53,9.73,5774.5,246.5,0.2,50,50,0,0
Mississippi River Alluvial Plain,1033,6857.79,8.48,2688.7,470.5,0.58,50,50,0,0
North Atlantic Coast,1468,184720.42,13.75,1386.4,250.5,0.24,50,50,0,0
North Central Tillplain,1496,48984.21,13.22,1856.2,44.7,0.05,50,50,0,0
Northern Appalachian / Acadian,1695,3242.67,9.12,22133.9,2503.1,0.86,50,50,0,0
Ouachita Mountains,1743,7744.58,14.84,2236.5,628.1,2.01,50,50,0,0
Ozarks,3363,8182.44,22.85,6901.2,488.5,0.38,50,50,0,0
Piedmont,2243,51784.87,14.88,7779.8,147.1,1.83,50,50,0,0
Prairie-Forest Border,1420,25230.99,11.48,2889.9,190.7,0.15,50,50,0,0
Southern Blue Ridge,1459,10632.59,11.79,2904,435.2,0.24,50,50,0,0
St. Lawrence - Champlain Valley,1067,25079.39,9.16,2144.6,43,0.22,50,50,0,0
Arizona-New Mexico Mountains,660,901.36,6.18,1390,203,0.75,50,50,0,0
Black Hills,740,2497.58,9.79,247.1,10.6,2.61,39,50,0,0
California North Coast,2204,3802.9,20.15,1563.9,220.7,0.84,50,50,0,0
Canadian Rocky Mountains,632,633,3.75,13627.6,2737,0.96,50,50,0,0
East Cascades - Modoc Plateau,1325,1006.54,11.59,1956.3,280.4,1.49,50,50,0,0
East Gulf Coastal Plain,1328,14676.08,9.07,6746.8,321.6,3.04,33,50,0,0
Florida Peninsula,1296,54133.27,11.2,2074.8,206.5,1.31,50,50,0,0
Gulf Of Alaska Mountains And Fjordlands,909,495.95,7.76,2211.6,1061.7,0.07,50,50,0,0
